NAME,REVIEWS,IMAGE,LINK
Nancy Dykstra,7,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSx8HG_MU5mgAQXqT_EE1dlesf9RGY7AUZk1H5N5tycvD92fvEs,https://www.dealerrater.com/sales/Nancy-Dykstra-review-301485/
Phil Marchitelli,164,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQxc9uujOBt4tEHZW72sOpmXyS0fvpo2cnGmwQ7v-ZjBE1LQnAI,https://www.dealerrater.com/sales/Phil-Marchitelli-review-469122/page3/
Jim Coogan,27,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcS7GnoE4hId4vI_9dGqDMQzdHAYpvfKgQU-F2ukJ0736YaFXazR,https://www.dealerrater.com/sales/Jim-Coogan-review-495818/
Blair Ford,26,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTiXD9TxP_Dj2KlWWN6-f8K6Phn6dSnrlIpVDH8Ry6zeDJqseyh,https://www.dealerrater.com/sales/Blair-Ford-review-453781/
Maguire Chevrolet Cadillac,318,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRROae3Lu3eqaFLRAKDfbgrEZ0mp4fQD80GOBH129555emPdcHO,https://www.dealerrater.com/dealer/Maguire-Chevrolet-Cadillac-dealer-reviews-1788/
Jim Wilson Chevrolet Buick GMC,732,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQEP30LxFrFgpcKPopMvUaaBYskbVYdZ4buMtjZg3k-3y4I7jVi,https://www.dealerrater.com/sales/Jim-Wilson-review-82601/
McCurley Integrity Chevrolet Cadillac - Service Center,27,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTZBonxAxVl8jzXz9n1of4rZHmBhIRHTtZqKzCm49WV8moRRq15,https://www.dealerrater.com/dealer/McCurley-Integrity-Chevrolet-Cadillac-service-39459/
Darrell Gibson,193,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRNVKpFhOk9jBpgfzaUSrjrZoBGu2Ds7xuayD-AeBPDLTa_if2V,https://www.dealerrater.com/sales/Darrell-Gibson-review-89213/
Al Sable,67,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSwHAp3g0avT1x-R5NERwRDzSgUAruIVVRX7ZYwBCUWVNvk_0fQ,https://www.dealerrater.com/sales/Al-Sable-review-295461/
Joe Bolkovitz,84,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTjS93h0bcLlUEwPKJEDnacZa1AAsdaBId0cNl4OSSkXe9Bd31Z,https://www.dealerrater.com/sales/Joe-Bolkovitz-review-219154/
Newberg Chevrolet,60,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQnnSXUWOXUYWG27khOTG1V7skRKep8kqMUDhxjjkRC8PNcs9Z9,https://www.dealerrater.com/dealer/Newberg-Chevrolet-review-21085/page4/
Jim Wilson Chevrolet Buick GMC,732,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSDiZuVHoAGy71NHLm2GFNEga3QdEEd0bjDmZdcfvY2jBL5b-Vz,https://www.dealerrater.com/sales/Jim-Wilson-review-82601/
Gandrud Chevrolet,289,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTk2edl_NQNFPui--fxBsPMgtQSPpLQl1kZ7_5_obRtzZrwGE4i,https://www.dealerrater.com/dealer/Gandrud-Chevrolet-review-23897/page8/
Michael Cabales,57,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRGxBnjViKO9aqterfv-s22Vfk5Anu_04VGJmtLnU0MnZk2-e90,https://www.dealerrater.com/sales/Michael-Cabales-review-485158/
Bryan Statler,131,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcR5HWdSAuh0Me-HNbqvRAUdz3FrduycsdJOWA4BrvjeLaoVAH2O,https://www.dealerrater.com/sales/Bryan-Statler-review-61632/
Hammer Chevrolet,18,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcS3S3Bv4Lj38XKO_WGs_BUJWty9EOhNBolTL69ysQQ4T8kaBnFj,https://www.dealerrater.com/dealer/Hammer-Chevrolet-review-110236/
Tom Blackwell,13,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQjfAY_5LhknP68fAkId5sVGESpk25XkY10J6ygaNZmCYh1JVjx,https://www.dealerrater.com/sales/Tom-Blackwell-review-558017/
Trapp Cadillac Chevrolet,200,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcT_15zNJZ5cuTWJuCXFiqIdNqdyPBU81lrBnsHk5ggu167IMaZT,https://www.dealerrater.com/dealer/Trapp-Cadillac-Chevrolet-review-14052/page7/
Chevrolet of Ottawa,73,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSbnx5YPzu9vvT_4LDtU0Cm4FrYIqWCZkndYyoAyDFzL4b0wO__,https://www.dealerrater.com/dealer/Chevrolet-of-Ottawa-review-42044/
Emily Smith,424,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRJ0fszZC1CdC2wg_BgNfmgpwxN-hzoJJ1XDZCgormvJrYOo5P8,https://www.dealerrater.com/sales/Emily-Smith-review-70785/
Gandrud Chevrolet,289,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSLs2wcN8PlHuQFAnGpdWuTDoRMRE0tVJyMRUx28k1MUF3r-B4g,https://www.dealerrater.com/dealer/Gandrud-Chevrolet-review-23897/page29/?filter=ALL_REVIEWS
Gandrud Chevrolet,289,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQ19Vp1bUYBYRQzLvHGC-GSp9v6ITFmojsxbeFt3f_36mMlmIRu,https://www.dealerrater.com/sales/Chris-Jacobs-review-436636/?filter=
Fransisco Aguilar,25,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQuLkR4bYbJH7SvXaE8VTaiofwnN7K5OCaflhThL9UxZ4dNaJw-,https://www.dealerrater.com/sales/Fransisco-Aguilar-review-296161/
Cutter Chevrolet,44,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcT6vMBtu6wvMEGlaIDg3IA14y7v0bpkabP77pQwqyeO28RyYk6e,https://www.dealerrater.com/dealer/Cutter-Chevrolet-review-3898/
RK Chevrolet,146,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTok5xj4tf9iAQDPv_qxM3OpsG25B-pehYpYhw4oPI_Etgk0HCM,https://www.dealerrater.com/dealer/RK-Chevrolet-review-114759/page4/?filter=ALL_REVIEWS
McCurley Integrity Chevrolet Cadillac,275,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcS8l_mMkSIojiLXaHTeuTw1JcyLm4ImWEsPGqFTxxtZdpMNIsZ4,https://www.dealerrater.com/dealer/McCurley-Integrity-Chevrolet-Cadillac-dealer-reviews-39459/page2/?filter=
Susan Mauldin,10,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcS0j9d8hCN86ai3KS-4rUhgX9Kwqj5xhad72fJUIV_pnCLJ4zGl,https://www.dealerrater.com/sales/Susan-Mauldin-review-382951/
Bergey's Chevrolet,355,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQPP10RBfJzmHNkKud-4-lSW6ZQmikMzD3tgNCywbV-ytrd61kB,https://www.dealerrater.com/dealer/Bergey-s-Chevrolet-review-1640/page32/
Dennis Johnson,114,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSVnVFq6eOQA3SWXYHPiiV1KQcq0Ym0KVoe-3zFAm1sHEBoMlhB,https://www.dealerrater.com/sales/Dennis-Johnson-review-146639/page9/
Freddy Pantoja,124,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQyD5q5yptXMej9rErQTRRjpHVrBWMoBTqf107IxILrkYX4L1H-,https://www.dealerrater.com/sales/Freddy-Pantoja-review-105120/
Vance Chevrolet Buick GMC,100,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSHGLLkhOZ1-znAEjL3ml-3WlRzZ873hYrpY4BVkm4piTbyLBXv,https://www.dealerrater.com/dealer/Vance-Chevrolet-Buick-GMC-service-37982/
Jim Coogan,27,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcROfluvAxlX_Fsx0t03zh5-lB-uCklwIlIjNOo_YOsB501VKlSV,https://www.dealerrater.com/sales/Jim-Coogan-review-495818/
Jim  Jarvis,102,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSjfq8WGEXlmqfnM6R9sWwju2n0XAwV7tShHwZgOymyAgntCtkd,https://www.dealerrater.com/sales/Jim-Jarvis-review-487354/
Shawn Andrews,51,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcT3pWGj-kLPnDucrNaD36lkO1XZHoergpfwPsWTTuOxBjpuEtp6,https://www.dealerrater.com/sales/Shawn-Andrews-review-462549/
Priority Chevrolet,240,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRN2Y4IvT9Z5sF35c297cdSCpcNJOZsakyFfshlDoOe-NnVvh9Z,https://www.dealerrater.com/dealer/Priority-Chevrolet-review-7898/page6/
Robbie Michaels,25,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQQH55c_vePMYxhvPpHqHdvD6WBr_lKwAaB3EbkP7054kkioREy,https://www.dealerrater.com/sales/Robbie-Michaels-review-583849/
Bull Motor Company,13,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQ48sWmoe3gtNVp9IWKN-ROSBBDQtohiO93wJnz7dNheZakEYeK,https://www.dealerrater.com/dealer/Bull-Motor-Company-review-108715/
Damon C. Utley,125,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcR1I_8VXNxBZYtptGGcrlxEjI_mRu-MTqvyJ5ihcfI2j3vSSuzK,https://www.dealerrater.com/sales/Damon-C-Utley-review-466705/
Jud Kuhn Chevrolet,237,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcS61OxVJ_ZqUSbAiAfIeXkdLBLdMXiV2ideuq_b-OsP8dCF_hnG,https://www.dealerrater.com/dealer/Jud-Kuhn-Chevrolet-review-24003/
Cargill Chevrolet,294,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQ25L9V4QKg2d79DbUyyqomKJMy7uE-H_5TdmB5FM0lXmzCHzkw,https://www.dealerrater.com/dealer/Cargill-Chevrolet-review-17126/page20/
Tony Oddon,160,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQLrb7dNQGdm1Irr13ga7TNmWul8SRATT1u0OmKRuKkFfGSVyqX,https://www.dealerrater.com/sales/Tony-Oddon-review-399808/page13/
Chris Vanderbunt,44,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTCUCyBxW5wmehyUGPbEAT_1tRbNg8pdXaSV4pcqACanAFcQCpu,https://www.dealerrater.com/sales/Chris-Vanderbunt-review-443376/
Palm Chevrolet,795,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTk94_8Oe4kgobdLyBJDXlApOVPaP4ZzMtzOnJBF7cFRstmVk8J,https://www.dealerrater.com/dealer/Palm-Chevrolet-review-10435/page21/
Brian Braden,34,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSyik8yX0NvG3ghfq0zK-lJ-0D0ryxhZfKgV8a5Dx4e1s34jCB0,https://www.dealerrater.com/sales/Brian-Braden-review-526784/
Travis Haylor,9,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQ5h2IivhkuxY5uLwBJDJqhZxpWWZPry8lf0K1LTzudPXDoKwc1,https://www.dealerrater.com/sales/Travis-Haylor-review-533930/
Richard Pineda,4,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcS8vPZxKOZoEjSBWkE8Dmag0M2ByzjWHqm6AFSt2XElTRngpPwP,https://www.dealerrater.com/sales/Richard-Pineda-review-473206/
Lester Glenn Chevrolet - Service Center,33,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRP0qRI6kvB-FY02jI0GO5mckX78g8Vb30yGuCn1TyLyVYG-_ff,https://www.dealerrater.com/dealer/Lester-Glenn-Chevrolet-service-40175/
A&T Chevrolet,237,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSPrYGO_LdLYI784gIkSMsXyjzheFNBCtk32XSDO2GsaMkcxsYR,https://www.dealerrater.com/dealer/A-T-Chevrolet-dealer-reviews-25137/
Ryan Wooldridge,8,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRrIpVLVgNj_RbodgpBp-CzwkkfbcuchgI6pwDg6FOS7PIsOv7s,https://www.dealerrater.com/sales/Ryan-Wooldridge-review-272154/
Shane Fulmerhouser,176,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSp1fi6WWq8uhJU6AsQE80zRK2vLlm97XeUsA67Lw6b-2jHI-2Q,https://www.dealerrater.com/sales/Shane-Fulmerhouser-review-471532/
Scott Garman,13,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTep1w9Pw44oC5py5rcZK8gado0khZL7YLZDUblQNwNPMb50sQo,https://www.dealerrater.com/sales/Scott-Garman-review-565271/
Bill Brunner,23,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcT5cpl9eH0DaQnThLlki7cU8TR8tg0O1kBwNdD7qfEISKsTUmfC,https://www.dealerrater.com/sales/Bill-Brunner-review-388796/
Mills Chevrolet,100,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQw0raq3C2d2i0Ff_JGe9ZRRHuLV9DgYwkJwNdHxUG8-N5qbdE3,https://www.dealerrater.com/dealer/Mills-Chevrolet-review-113693/
Earl Overpeck,2,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRm0fxnBZ5lLuzb7cYnvImAJ6i0h5LU8DDUicJHiaa57j5Y_Jjc,https://www.dealerrater.com/sales/Earl-Overpeck-review-432587/
Don McKay,40,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSBf8CE9Dic2mAq3meERwT5nJhmBj02_wfHPdrtwuwTJHM755O5,https://www.dealerrater.com/sales/Don-McKay-review-227832/
Jeff Weaver,17,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcR_OcR9DL3bmiBiA2TAitw9XX2mz9Uqm27mHRcv9cJ0xiEgA1SY,https://www.dealerrater.com/sales/Jeff-Weaver-review-435097/
Andy Sweis,38,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRVgHE9LQridgLDc9uSV1AZ-1J0pFr9NdXIbPzzFPi_heYphjvY,https://www.dealerrater.com/sales/Andy-Sweis-review-18023/
Manny Reyes,60,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQOcuBNy8Z33PTE6SJGYwt0Q11Ovq6RMoVu2rhsknUo_TXlQf0S,https://www.dealerrater.com/sales/Manny-Reyes-review-358694/
Hunter Carson Hale,28,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTdFdomfb-qj18Co5U2eQfd2tEyeGZc8XYJ0o05jl6jsLiKSnJ8,https://www.dealerrater.com/sales/Hunter-Carson-Hale-review-286450/
Damon C. Utley,125,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTyEXUhCPIXLS4MLAzGU66AGMPxZ0-mAdImqoA2qWt4q2e_bAsK,https://www.dealerrater.com/sales/Damon-C-Utley-review-466705/
Chevrolet of Boaz,208,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQDTI6Z_VAWDTMo-RB0PiWQ9H4Q5jYTRXcbHAw8J55Xl09OvlMf,https://www.dealerrater.com/dealer/Chevrolet-of-Boaz-review-109108/page4/
A&T Chevrolet,237,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSIpJXLqwNlg3ch8DEaaeriy-E2JUzCBL1PlmDB-qtLt8pdJS-z,https://www.dealerrater.com/dealer/A-T-Chevrolet-dealer-reviews-25137/
Cargill Chevrolet,294,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTfTXgEe1P8a4rjKo_11am3lPwRtMwqCYibKV46cU9CbZOPOJjz,https://www.dealerrater.com/dealer/Cargill-Chevrolet-review-17126/page19/
Gilroy Chevrolet Cadillac,49,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRsnL9Zo1DD9xcrlt47dMoegcHtvHFZ8S4qNOPT4gx9qVdAjeAf,https://www.dealerrater.com/dealer/Gilroy-Chevrolet-Cadillac-review-41813/page4/?filter=ALL_REVIEWS
Cory Axvig,130,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcR_R4dcMH_p-HC5_LsStPhnWpfFqYdrMD0FRh1Z4raExme5IsRG,https://www.dealerrater.com/sales/Cory-Axvig-review-235769/
Bergey's Chevrolet,355,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQ576CFQYoKIwPfJq2q8VU2brluicNrEV2024DCF8FZDxbYuYwv,https://www.dealerrater.com/dealer/Bergey-s-Chevrolet-review-1640/page32/
Joseph  Vivolo,21,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTMAAD4oE31CnlfNn5kmAdpZbsoWPWD-irYN9KfQSlaToA4A4RF,https://www.dealerrater.com/sales/Joseph-Vivolo-review-535394/
Parks Chevrolet at the Lake,124,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcS1VlVL4v6Q3opnhLMDhnIf6vZknbIzcjnxkoJira4w7wyyMBwn,https://www.dealerrater.com/dealer/Parks-Chevrolet-at-the-Lake-review-10503/page6/
Aberdeen Chevrolet,24,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRWGEMPJK0fWByuBA-Df2-pCX9Yv3jn8Pm2t5GXg8odhQjVkIi7,https://www.dealerrater.com/dealer/Aberdeen-Chevrolet-review-35667/
Saif Mo,45,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRiDP4cu6I9PbhV_KlqB9dJuentihXNCIcyk2h8phem32UwX7XH,https://www.dealerrater.com/sales/Saif-Mo-review-481177/
Glockner GM Superstore,522,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSJX4FZ3jyMwbC79v97dZ1CXwIKLADKAkrSRK7T-yVSKFxaoZ1v,https://www.dealerrater.com/dealer/Glockner-GM-Superstore-review-37805/
Cutter Chevrolet,44,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTbtuZBFNmprPjj8Rq_5NESv7keA0g4lBX5e6NBKcLTZDq44PAY,https://www.dealerrater.com/dealer/Cutter-Chevrolet-review-3898/
Gandrud Chevrolet,289,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSRpsR9XBxfpyFzLXwz-_lHgW4UEJabRTKzSy1iQQryfTCdPg5C,https://www.dealerrater.com/sales/Chris-Jacobs-review-436636/?filter=
Bayway Chevrolet,"3,951",https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSxRG-N4GUlA9z-yp6XpmYH3xQu8m6v9IKSNCOixwfW1gtJIRbj,https://www.dealerrater.com/dealer/Bayway-Chevrolet-review-13245/page32/
Nancy Dykstra,7,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSqAkDzcRsd3mpxj70Lv6lOFNAwkMs7gyJ5UH8Hd34GNdAy_zog,https://www.dealerrater.com/sales/Nancy-Dykstra-review-301485/
Kevin Miller,50,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRl4noHLyXG7Nxk3envJIOO82spq2GVgJLCR7--jpVE_hRFxCuL,https://www.dealerrater.com/sales/Kevin-Miller-review-454624/
Jason Pappas,12,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRz0LNZTymOK5_Jal3En-n_T7OxUG8C1F6M9O9aXW-_bskTod6S,https://www.dealerrater.com/sales/Jason-Pappas-review-229096/
Brandon  Treat,6,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSutmKLKeloT8NfvE2w3bZgPlyTJeSb2p64Mv-ofU48MY7h9QeG,https://www.dealerrater.com/sales/Brandon-Treat-review-614623/
Juan Palacios,28,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQrUdnWQWkGNUmqJIrp_oXRLu9JULFUVb46r7bX-oYAwE8qU-tG,https://www.dealerrater.com/sales/Juan-Palacios-review-496486/page2/
Buddy Price,109,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQmsOot1bBs_bnZBVws7tT0anXfH12WmhRlvxs1oQ1GpJgxrR0U,https://www.dealerrater.com/sales/Buddy-Price-review-538999/
Weber Chevrolet Granite City,864,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcS2DTQzB1FXzjAmNgl5jUegfKsmtiAJiaJOQVAPfFSUfLGsjPkX,https://www.dealerrater.com/dealer/Weber-Chevrolet-Granite-City-dealer-reviews-36609/
Bayway Chevrolet,"3,951",https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRs4MJ8h08lkzkkX5DY3ze0dsGpD7eoeB6Y5oLIehwKHWvibmGu,https://www.dealerrater.com/dealer/Bayway-Chevrolet-review-13245/page25/?filter=
James Mitchell,307,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQ4o2WGwPpdNN2awACxi_DfZD8-uJVSYfrmLl2wyJQVl4SI-X2B,https://www.dealerrater.com/sales/James-Mitchell-review-486610/page13/
